时间,区域,数量
2015/4/1 0:00,A,30587
2015/4/1 3:00,A,49017
2015/4/1 6:00,A,53942
2015/4/1 9:00,A,55878
2015/4/1 12:00,A,43004
2015/4/1 15:00,A,43651
2015/4/1 18:00,A,45308
2015/4/1 21:00,A,58081
2015/4/2 0:00,A,28207
2015/4/2 0:00,A,28910
2015/4/2 3:00,A,51852
2015/4/2 6:00,A,56917
2015/4/2 9:00,A,56767
2015/4/2 12:00,A,45786
2015/4/2 15:00,A,48851
2015/4/2 18:00,A,51070
2015/4/2 21:00,A,62741
2015/4/3 0:00,A,28527
2015/4/3 0:00,A,26177
2015/4/3 3:00,A,45090
2015/4/3 6:00,A,52631
2015/4/3 9:00,A,56893
2015/4/3 12:00,A,45880
2015/4/3 15:00,A,45135
2015/4/3 18:00,A,48636
2015/4/3 21:00,A,57813
2015/4/4 0:00,A,31205
2015/4/4 0:00,A,32747
2015/4/4 3:00,A,54272
2015/4/4 6:00,A,52921
2015/4/4 9:00,A,53834
2015/4/4 12:00,A,52006
2015/4/4 15:00,A,51933
2015/4/4 18:00,A,52805
2015/4/4 21:00,A,57041
2015/4/5 0:00,A,28589
2015/4/5 0:00,A,31446
2015/4/5 3:00,A,51680
2015/4/5 6:00,A,54601
2015/4/5 9:00,A,55870
2015/4/5 12:00,A,54609
2015/4/5 15:00,A,51752
2015/4/5 18:00,A,51579
2015/4/5 21:00,A,55285
2015/4/6 0:00,A,26564
2015/4/6 0:00,A,27225
2015/4/6 3:00,A,46577
2015/4/6 6:00,A,47454
2015/4/6 9:00,A,64790
2015/4/6 12:00,A,57763
2015/4/6 15:00,A,52429
2015/4/6 18:00,A,52961
2015/4/6 21:00,A,54531
2015/4/7 0:00,A,25392
2015/4/7 0:00,A,27138
2015/4/7 3:00,A,45339
2015/4/7 6:00,A,50708
2015/4/7 9:00,A,57065
2015/4/7 12:00,A,46611
2015/4/7 15:00,A,48140
2015/4/7 18:00,A,49348
2015/4/7 21:00,A,59345
2015/4/8 0:00,A,30143
2015/4/8 0:00,A,31027
2015/4/8 3:00,A,48697
2015/4/8 6:00,A,53845
2015/4/8 9:00,A,52704
2015/4/8 12:00,A,45319
2015/4/8 15:00,A,46824
2015/4/8 18:00,A,50494
2015/4/8 21:00,A,57485
2015/4/9 0:00,A,29881
2015/4/9 0:00,A,29997
2015/4/9 3:00,A,47118
2015/4/9 6:00,A,52311
2015/4/9 9:00,A,55147
2015/4/9 12:00,A,43417
2015/4/9 15:00,A,48737
2015/4/9 18:00,A,46392
2015/4/9 21:00,A,49147
2015/4/10 0:00,A,28260
2015/4/10 0:00,A,25203
2015/4/10 3:00,A,49614
2015/4/10 6:00,A,55679
2015/4/10 9:00,A,50731
2015/4/10 12:00,A,47124
2015/4/10 15:00,A,52245
2015/4/10 18:00,A,50814
2015/4/10 21:00,A,57866
2015/4/11 0:00,A,28512
2015/4/11 0:00,A,31928
2015/4/11 3:00,A,53995
2015/4/11 6:00,A,48953
2015/4/11 9:00,A,60554
2015/4/11 12:00,A,58906
2015/4/11 15:00,A,58641
2015/4/11 18:00,A,47336
2015/4/11 21:00,A,53261
2015/4/12 0:00,A,26344
2015/4/12 0:00,A,29872
2015/4/12 3:00,A,52947
2015/4/12 6:00,A,52384
2015/4/12 9:00,A,61350
2015/4/12 12:00,A,55093
2015/4/12 15:00,A,54361
2015/4/12 18:00,A,53400
2015/4/12 21:00,A,60460
2015/4/13 0:00,A,29858
2015/4/13 0:00,A,32344
2015/4/13 3:00,A,50856
2015/4/13 6:00,A,56913
2015/4/13 9:00,A,57430
2015/4/13 12:00,A,46050
2015/4/13 15:00,A,45986
2015/4/13 18:00,A,48105
2015/4/13 21:00,A,56709
2015/4/14 0:00,A,27858
2015/4/14 0:00,A,26534
2015/4/14 3:00,A,47788
2015/4/14 6:00,A,53059
2015/4/14 9:00,A,57059
2015/4/14 12:00,A,46525
2015/4/14 15:00,A,48850
2015/4/14 18:00,A,46429
2015/4/14 21:00,A,51878
2015/4/15 0:00,A,27045
2015/4/15 0:00,A,30803
2015/4/15 3:00,A,50566
2015/4/15 6:00,A,52859
2015/4/15 9:00,A,53317
2015/4/15 12:00,A,40785
2015/4/15 15:00,A,43497
2015/4/15 18:00,A,45123
2015/4/15 21:00,A,53799
2015/4/16 0:00,A,28022
2015/4/16 0:00,A,27607
2015/4/16 3:00,A,50373
2015/4/16 6:00,A,53075
2015/4/16 9:00,A,49717
2015/4/16 12:00,A,44726
2015/4/16 15:00,A,44018
2015/4/16 18:00,A,46043
2015/4/16 21:00,A,56880
2015/4/17 0:00,A,26918
2015/4/17 0:00,A,28962
2015/4/17 3:00,A,46149
2015/4/17 6:00,A,55186
2015/4/17 9:00,A,52663
2015/4/17 12:00,A,45658
2015/4/17 15:00,A,51033
2015/4/17 18:00,A,47539
2015/4/17 21:00,A,58300
2015/4/18 0:00,A,26696
2015/4/18 0:00,A,28547
2015/4/18 3:00,A,54281
2015/4/18 6:00,A,52362
2015/4/18 9:00,A,62332
2015/4/18 12:00,A,57392
2015/4/18 15:00,A,55741
2015/4/18 18:00,A,49405
2015/4/18 21:00,A,53176
2015/4/19 0:00,A,26109
2015/4/19 0:00,A,29565
2015/4/19 3:00,A,51287
2015/4/19 6:00,A,50599
2015/4/19 9:00,A,62717
2015/4/19 12:00,A,50712
2015/4/19 15:00,A,51066
2015/4/19 18:00,A,52003
2015/4/19 21:00,A,56670
2015/4/20 0:00,A,28338
2015/4/20 0:00,A,29826
2015/4/20 3:00,A,47824
2015/4/20 6:00,A,49013
2015/4/20 9:00,A,61879
2015/4/20 12:00,A,45963
2015/4/20 15:00,A,46799
2015/4/20 18:00,A,47349
2015/4/20 21:00,A,54810
2015/4/21 0:00,A,26984
2015/4/21 0:00,A,27058
2015/4/21 3:00,A,47347
2015/4/21 6:00,A,51057
2015/4/21 9:00,A,47040
2015/4/21 12:00,A,42535
2015/4/21 15:00,A,44717
2015/4/21 18:00,A,45300
2015/4/21 21:00,A,53728
2015/4/22 0:00,A,28718
2015/4/22 0:00,A,29309
2015/4/22 3:00,A,51554
2015/4/22 6:00,A,54986
2015/4/22 9:00,A,51234
2015/4/22 12:00,A,44075
2015/4/22 15:00,A,44494
2015/4/22 18:00,A,47976
2015/4/22 21:00,A,53010
2015/4/23 0:00,A,29618
2015/4/23 0:00,A,30531
2015/4/23 3:00,A,51229
2015/4/23 6:00,A,56164
2015/4/23 9:00,A,49488
2015/4/23 12:00,A,42603
2015/4/23 15:00,A,47279
2015/4/23 18:00,A,46467
2015/4/23 21:00,A,56481
2015/4/24 0:00,A,27130
2015/4/24 0:00,A,26582
2015/4/24 3:00,A,49252
2015/4/24 6:00,A,52767
2015/4/24 9:00,A,46942
2015/4/24 12:00,A,48920
2015/4/24 15:00,A,47555
2015/4/24 18:00,A,46488
2015/4/24 21:00,A,59041
2015/4/25 0:00,A,29213
2015/4/25 0:00,A,32008
2015/4/25 3:00,A,62103
2015/4/25 6:00,A,54169
2015/4/25 9:00,A,55493
2015/4/25 12:00,A,52615
2015/4/25 15:00,A,54832
2015/4/25 18:00,A,46583
2015/4/25 21:00,A,52030
2015/4/26 0:00,A,25581
2015/4/26 0:00,A,29598
2015/4/26 3:00,A,53025
2015/4/26 6:00,A,57614
2015/4/26 9:00,A,64812
2015/4/26 12:00,A,52340
2015/4/26 15:00,A,49651
2015/4/26 18:00,A,50050
2015/4/26 21:00,A,52692
2015/4/27 0:00,A,24284
2015/4/27 0:00,A,28187
2015/4/27 3:00,A,48769
2015/4/27 6:00,A,53213
2015/4/27 9:00,A,54413
2015/4/27 12:00,A,51762
2015/4/27 15:00,A,52744
2015/4/27 18:00,A,48039
2015/4/27 21:00,A,52021
2015/4/28 0:00,A,24641
2015/4/28 0:00,A,26811
2015/4/28 3:00,A,44073
2015/4/28 6:00,A,56052
2015/4/28 9:00,A,49520
2015/4/28 12:00,A,48187
2015/4/28 15:00,A,51798
2015/4/28 18:00,A,47193
2015/4/28 21:00,A,59556
2015/4/29 0:00,A,31102
2015/4/29 0:00,A,31570
2015/4/29 3:00,A,47562
2015/4/29 6:00,A,58991
2015/4/29 9:00,A,70475
2015/4/29 12:00,A,49097
2015/4/29 15:00,A,49736
2015/4/29 18:00,A,45188
2015/4/29 21:00,A,55360
2015/4/30 0:00,A,26902
2015/4/30 0:00,A,28625
2015/4/30 3:00,A,55452
2015/4/30 6:00,A,64570
2015/4/30 9:00,A,62742
2015/4/30 12:00,A,56155
2015/4/30 15:00,A,65307
2015/4/30 18:00,A,51638
2015/4/30 21:00,A,57632
2015/5/1 0:00,A,30451
2015/4/1 0:00,B,25884
2015/4/1 3:00,B,34673
2015/4/1 6:00,B,35469
2015/4/1 9:00,B,45757
2015/4/1 12:00,B,52201
2015/4/1 15:00,B,66072
2015/4/1 18:00,B,53446
2015/4/1 21:00,B,57952
2015/4/2 0:00,B,29932
2015/4/2 0:00,B,26610
2015/4/2 3:00,B,38642
2015/4/2 6:00,B,34387
2015/4/2 9:00,B,41510
2015/4/2 12:00,B,52353
2015/4/2 15:00,B,62076
2015/4/2 18:00,B,67238
2015/4/2 21:00,B,67359
2015/4/3 0:00,B,29104
2015/4/3 0:00,B,24333
2015/4/3 3:00,B,33710
2015/4/3 6:00,B,37658
2015/4/3 9:00,B,41588
2015/4/3 12:00,B,56383
2015/4/3 15:00,B,57744
2015/4/3 18:00,B,63068
2015/4/3 21:00,B,61105
2015/4/4 0:00,B,30267
2015/4/4 0:00,B,24650
2015/4/4 3:00,B,41752
2015/4/4 6:00,B,38608
2015/4/4 9:00,B,51425
2015/4/4 12:00,B,55104
2015/4/4 15:00,B,61730
2015/4/4 18:00,B,58499
2015/4/4 21:00,B,54285
2015/4/5 0:00,B,25808
2015/4/5 0:00,B,21898
2015/4/5 3:00,B,33943
2015/4/5 6:00,B,38567
2015/4/5 9:00,B,51205
2015/4/5 12:00,B,53907
2015/4/5 15:00,B,61815
2015/4/5 18:00,B,53152
2015/4/5 21:00,B,51163
2015/4/6 0:00,B,24533
2015/4/6 0:00,B,18958
2015/4/6 3:00,B,29837
2015/4/6 6:00,B,32365
2015/4/6 9:00,B,55317
2015/4/6 12:00,B,64479
2015/4/6 15:00,B,67912
2015/4/6 18:00,B,60264
2015/4/6 21:00,B,60246
2015/4/7 0:00,B,27732
2015/4/7 0:00,B,26215
2015/4/7 3:00,B,35197
2015/4/7 6:00,B,34838
2015/4/7 9:00,B,45425
2015/4/7 12:00,B,54487
2015/4/7 15:00,B,60983
2015/4/7 18:00,B,59359
2015/4/7 21:00,B,62347
2015/4/8 0:00,B,29939
2015/4/8 0:00,B,23488
2015/4/8 3:00,B,36508
2015/4/8 6:00,B,35158
2015/4/8 9:00,B,44992
2015/4/8 12:00,B,59213
2015/4/8 15:00,B,68499
2015/4/8 18:00,B,61174
2015/4/8 21:00,B,60683
2015/4/9 0:00,B,31434
2015/4/9 0:00,B,24386
2015/4/9 3:00,B,32664
2015/4/9 6:00,B,35968
2015/4/9 9:00,B,44672
2015/4/9 12:00,B,64585
2015/4/9 15:00,B,62799
2015/4/9 18:00,B,55299
2015/4/9 21:00,B,60929
2015/4/10 0:00,B,25523
2015/4/10 0:00,B,29595
2015/4/10 3:00,B,37824
2015/4/10 6:00,B,35306
2015/4/10 9:00,B,43351
2015/4/10 12:00,B,54331
2015/4/10 15:00,B,61808
2015/4/10 18:00,B,58293
2015/4/10 21:00,B,59019
2015/4/11 0:00,B,31040
2015/4/11 0:00,B,27433
2015/4/11 3:00,B,39120
2015/4/11 6:00,B,34321
2015/4/11 9:00,B,55746
2015/4/11 12:00,B,65662
2015/4/11 15:00,B,69823
2015/4/11 18:00,B,62822
2015/4/11 21:00,B,60405
2015/4/12 0:00,B,32355
2015/4/12 0:00,B,26292
2015/4/12 3:00,B,39299
2015/4/12 6:00,B,36511
2015/4/12 9:00,B,57616
2015/4/12 12:00,B,59961
2015/4/12 15:00,B,67577
2015/4/12 18:00,B,59618
2015/4/12 21:00,B,63180
2015/4/13 0:00,B,28906
2015/4/13 0:00,B,21542
2015/4/13 3:00,B,28922
2015/4/13 6:00,B,35013
2015/4/13 9:00,B,40198
2015/4/13 12:00,B,53040
2015/4/13 15:00,B,58869
2015/4/13 18:00,B,58384
2015/4/13 21:00,B,62046
2015/4/14 0:00,B,30720
2015/4/14 0:00,B,25677
2015/4/14 3:00,B,36669
2015/4/14 6:00,B,33589
2015/4/14 9:00,B,39657
2015/4/14 12:00,B,56849
2015/4/14 15:00,B,61151
2015/4/14 18:00,B,55045
2015/4/14 21:00,B,61914
2015/4/15 0:00,B,29364
2015/4/15 0:00,B,26228
2015/4/15 3:00,B,34104
2015/4/15 6:00,B,35747
2015/4/15 9:00,B,43219
2015/4/15 12:00,B,57327
2015/4/15 15:00,B,57991
2015/4/15 18:00,B,54856
2015/4/15 21:00,B,59534
2015/4/16 0:00,B,30740
2015/4/16 0:00,B,29187
2015/4/16 3:00,B,37140
2015/4/16 6:00,B,30217
2015/4/16 9:00,B,38121
2015/4/16 12:00,B,57817
2015/4/16 15:00,B,59164
2015/4/16 18:00,B,48702
2015/4/16 21:00,B,59954
2015/4/17 0:00,B,30672
2015/4/17 0:00,B,28536
2015/4/17 3:00,B,35848
2015/4/17 6:00,B,36541
2015/4/17 9:00,B,45082
2015/4/17 12:00,B,55761
2015/4/17 15:00,B,55183
2015/4/17 18:00,B,50494
2015/4/17 21:00,B,58806
2015/4/18 0:00,B,31295
2015/4/18 0:00,B,33626
2015/4/18 3:00,B,44079
2015/4/18 6:00,B,35074
2015/4/18 9:00,B,56678
2015/4/18 12:00,B,65298
2015/4/18 15:00,B,66369
2015/4/18 18:00,B,62276
2015/4/18 21:00,B,62726
2015/4/19 0:00,B,32078
2015/4/19 0:00,B,25529
2015/4/19 3:00,B,37578
2015/4/19 6:00,B,36860
2015/4/19 9:00,B,55941
2015/4/19 12:00,B,57433
2015/4/19 15:00,B,59293
2015/4/19 18:00,B,64082
2015/4/19 21:00,B,61352
2015/4/20 0:00,B,26943
2015/4/20 0:00,B,21330
2015/4/20 3:00,B,33136
2015/4/20 6:00,B,33492
2015/4/20 9:00,B,37443
2015/4/20 12:00,B,56368
2015/4/20 15:00,B,62778
2015/4/20 18:00,B,58869
2015/4/20 21:00,B,60025
2015/4/21 0:00,B,30846
2015/4/21 0:00,B,26178
2015/4/21 3:00,B,33292
2015/4/21 6:00,B,35811
2015/4/21 9:00,B,43913
2015/4/21 12:00,B,58930
2015/4/21 15:00,B,66564
2015/4/21 18:00,B,54542
2015/4/21 21:00,B,66430
2015/4/22 0:00,B,29534
2015/4/22 0:00,B,25136
2015/4/22 3:00,B,37430
2015/4/22 6:00,B,36030
2015/4/22 9:00,B,43553
2015/4/22 12:00,B,59417
2015/4/22 15:00,B,62224
2015/4/22 18:00,B,57111
2015/4/22 21:00,B,59406
2015/4/23 0:00,B,30780
2015/4/23 0:00,B,25915
2015/4/23 3:00,B,34526
2015/4/23 6:00,B,37676
2015/4/23 9:00,B,40801
2015/4/23 12:00,B,58718
2015/4/23 15:00,B,56931
2015/4/23 18:00,B,50040
2015/4/23 21:00,B,61863
2015/4/24 0:00,B,32118
2015/4/24 0:00,B,24246
2015/4/24 3:00,B,36830
2015/4/24 6:00,B,35162
2015/4/24 9:00,B,38099
2015/4/24 12:00,B,51818
2015/4/24 15:00,B,58130
2015/4/24 18:00,B,57191
2015/4/24 21:00,B,65058
2015/4/25 0:00,B,33671
2015/4/25 0:00,B,30933
2015/4/25 3:00,B,38768
2015/4/25 6:00,B,37290
2015/4/25 9:00,B,58414
2015/4/25 12:00,B,69716
2015/4/25 15:00,B,70453
2015/4/25 18:00,B,64265
2015/4/25 21:00,B,64304
2015/4/26 0:00,B,33115
2015/4/26 0:00,B,26210
2015/4/26 3:00,B,37984
2015/4/26 6:00,B,36170
2015/4/26 9:00,B,60958
2015/4/26 12:00,B,60886
2015/4/26 15:00,B,64561
2015/4/26 18:00,B,61511
2015/4/26 21:00,B,57879
2015/4/27 0:00,B,27771
2015/4/27 0:00,B,21926
2015/4/27 3:00,B,30110
2015/4/27 6:00,B,35192
2015/4/27 9:00,B,43325
2015/4/27 12:00,B,55263
2015/4/27 15:00,B,58884
2015/4/27 18:00,B,49887
2015/4/27 21:00,B,61319
2015/4/28 0:00,B,27453
2015/4/28 0:00,B,22225
2015/4/28 3:00,B,35428
2015/4/28 6:00,B,37785
2015/4/28 9:00,B,40079
2015/4/28 12:00,B,57259
2015/4/28 15:00,B,62537
2015/4/28 18:00,B,57990
2015/4/28 21:00,B,62386
2015/4/29 0:00,B,29189
2015/4/29 0:00,B,24842
2015/4/29 3:00,B,32730
2015/4/29 6:00,B,35429
2015/4/29 9:00,B,42429
2015/4/29 12:00,B,55178
2015/4/29 15:00,B,61421
2015/4/29 18:00,B,52263
2015/4/29 21:00,B,62044
2015/4/30 0:00,B,29613
2015/4/30 0:00,B,26569
2015/4/30 3:00,B,40611
2015/4/30 6:00,B,36165
2015/4/30 9:00,B,45764
2015/4/30 12:00,B,56393
2015/4/30 15:00,B,58881
2015/4/30 18:00,B,50410
2015/4/30 21:00,B,60322
2015/5/1 0:00,B,31425
2015/4/1 0:00,C,22247
2015/4/1 3:00,C,43278
2015/4/1 6:00,C,37617
2015/4/1 9:00,C,32563
2015/4/1 12:00,C,27670
2015/4/1 15:00,C,28131
2015/4/1 18:00,C,30622
2015/4/1 21:00,C,34432
2015/4/2 0:00,C,17982
2015/4/2 0:00,C,20390
2015/4/2 3:00,C,41105
2015/4/2 6:00,C,38078
2015/4/2 9:00,C,31751
2015/4/2 12:00,C,26045
2015/4/2 15:00,C,31507
2015/4/2 18:00,C,34893
2015/4/2 21:00,C,35621
2015/4/3 0:00,C,17302
2015/4/3 0:00,C,20438
2015/4/3 3:00,C,42178
2015/4/3 6:00,C,37127
2015/4/3 9:00,C,33405
2015/4/3 12:00,C,27956
2015/4/3 15:00,C,25073
2015/4/3 18:00,C,33915
2015/4/3 21:00,C,36502
2015/4/4 0:00,C,22293
2015/4/4 0:00,C,22588
2015/4/4 3:00,C,44616
2015/4/4 6:00,C,37923
2015/4/4 9:00,C,29426
2015/4/4 12:00,C,27747
2015/4/4 15:00,C,30204
2015/4/4 18:00,C,32838
2015/4/4 21:00,C,37039
2015/4/5 0:00,C,21757
2015/4/5 0:00,C,21068
2015/4/5 3:00,C,41263
2015/4/5 6:00,C,33844
2015/4/5 9:00,C,26347
2015/4/5 12:00,C,31132
2015/4/5 15:00,C,30708
2015/4/5 18:00,C,34674
2015/4/5 21:00,C,37676
2015/4/6 0:00,C,21928
2015/4/6 0:00,C,22441
2015/4/6 3:00,C,45124
2015/4/6 6:00,C,41023
2015/4/6 9:00,C,33362
2015/4/6 12:00,C,29468
2015/4/6 15:00,C,30958
2015/4/6 18:00,C,36284
2015/4/6 21:00,C,37455
2015/4/7 0:00,C,19851
2015/4/7 0:00,C,21843
2015/4/7 3:00,C,41497
2015/4/7 6:00,C,36620
2015/4/7 9:00,C,31521
2015/4/7 12:00,C,28604
2015/4/7 15:00,C,34076
2015/4/7 18:00,C,33334
2015/4/7 21:00,C,35174
2015/4/8 0:00,C,19849
2015/4/8 0:00,C,21604
2015/4/8 3:00,C,44632
2015/4/8 6:00,C,44698
2015/4/8 9:00,C,30899
2015/4/8 12:00,C,28517
2015/4/8 15:00,C,36022
2015/4/8 18:00,C,29067
2015/4/8 21:00,C,34213
2015/4/9 0:00,C,18754
2015/4/9 0:00,C,19441
2015/4/9 3:00,C,40546
2015/4/9 6:00,C,37301
2015/4/9 9:00,C,33137
2015/4/9 12:00,C,28136
2015/4/9 15:00,C,31441
2015/4/9 18:00,C,33330
2015/4/9 21:00,C,33514
2015/4/10 0:00,C,19347
2015/4/10 0:00,C,19111
2015/4/10 3:00,C,39965
2015/4/10 6:00,C,41815
2015/4/10 9:00,C,33274
2015/4/10 12:00,C,32525
2015/4/10 15:00,C,32938
2015/4/10 18:00,C,29750
2015/4/10 21:00,C,34126
2015/4/11 0:00,C,17722
2015/4/11 0:00,C,21160
2015/4/11 3:00,C,42007
2015/4/11 6:00,C,37984
2015/4/11 9:00,C,30149
2015/4/11 12:00,C,30431
2015/4/11 15:00,C,31328
2015/4/11 18:00,C,31543
2015/4/11 21:00,C,37059
2015/4/12 0:00,C,18893
2015/4/12 0:00,C,20407
2015/4/12 3:00,C,40962
2015/4/12 6:00,C,41522
2015/4/12 9:00,C,30583
2015/4/12 12:00,C,29194
2015/4/12 15:00,C,28504
2015/4/12 18:00,C,35559
2015/4/12 21:00,C,39340
2015/4/13 0:00,C,21527
2015/4/13 0:00,C,20545
2015/4/13 3:00,C,41177
2015/4/13 6:00,C,36054
2015/4/13 9:00,C,30391
2015/4/13 12:00,C,29395
2015/4/13 15:00,C,30515
2015/4/13 18:00,C,30613
2015/4/13 21:00,C,36905
2015/4/14 0:00,C,19370
2015/4/14 0:00,C,20397
2015/4/14 3:00,C,44355
2015/4/14 6:00,C,41887
2015/4/14 9:00,C,32952
2015/4/14 12:00,C,28418
2015/4/14 15:00,C,28692
2015/4/14 18:00,C,30851
2015/4/14 21:00,C,33262
2015/4/15 0:00,C,18463
2015/4/15 0:00,C,21937
2015/4/15 3:00,C,44536
2015/4/15 6:00,C,37975
2015/4/15 9:00,C,28630
2015/4/15 12:00,C,28186
2015/4/15 15:00,C,26451
2015/4/15 18:00,C,29812
2015/4/15 21:00,C,36230
2015/4/16 0:00,C,18995
2015/4/16 0:00,C,20059
2015/4/16 3:00,C,43666
2015/4/16 6:00,C,38482
2015/4/16 9:00,C,31318
2015/4/16 12:00,C,27793
2015/4/16 15:00,C,27402
2015/4/16 18:00,C,31819
2015/4/16 21:00,C,35077
2015/4/17 0:00,C,18982
2015/4/17 0:00,C,19411
2015/4/17 3:00,C,40747
2015/4/17 6:00,C,35513
2015/4/17 9:00,C,32932
2015/4/17 12:00,C,27866
2015/4/17 15:00,C,30661
2015/4/17 18:00,C,32546
2015/4/17 21:00,C,34035
2015/4/18 0:00,C,16751
2015/4/18 0:00,C,19734
2015/4/18 3:00,C,40122
2015/4/18 6:00,C,40592
2015/4/18 9:00,C,31049
2015/4/18 12:00,C,30207
2015/4/18 15:00,C,33661
2015/4/18 18:00,C,35536
2015/4/18 21:00,C,35502
2015/4/19 0:00,C,18316
2015/4/19 0:00,C,21042
2015/4/19 3:00,C,43443
2015/4/19 6:00,C,39614
2015/4/19 9:00,C,32297
2015/4/19 12:00,C,28793
2015/4/19 15:00,C,29926
2015/4/19 18:00,C,37127
2015/4/19 21:00,C,38328
2015/4/20 0:00,C,19428
2015/4/20 0:00,C,20161
2015/4/20 3:00,C,44179
2015/4/20 6:00,C,42223
2015/4/20 9:00,C,30803
2015/4/20 12:00,C,27514
2015/4/20 15:00,C,29815
2015/4/20 18:00,C,31925
2015/4/20 21:00,C,31618
2015/4/21 0:00,C,15285
2015/4/21 0:00,C,18772
2015/4/21 3:00,C,37774
2015/4/21 6:00,C,35011
2015/4/21 9:00,C,29253
2015/4/21 12:00,C,28822
2015/4/21 15:00,C,28303
2015/4/21 18:00,C,31347
2015/4/21 21:00,C,38309
2015/4/22 0:00,C,19937
2015/4/22 0:00,C,20137
2015/4/22 3:00,C,42466
2015/4/22 6:00,C,43577
2015/4/22 9:00,C,31838
2015/4/22 12:00,C,27372
2015/4/22 15:00,C,30499
2015/4/22 18:00,C,29567
2015/4/22 21:00,C,35215
2015/4/23 0:00,C,19423
2015/4/23 0:00,C,18552
2015/4/23 3:00,C,39162
2015/4/23 6:00,C,35620
2015/4/23 9:00,C,31423
2015/4/23 12:00,C,25827
2015/4/23 15:00,C,29810
2015/4/23 18:00,C,33079
2015/4/23 21:00,C,32804
2015/4/24 0:00,C,18890
2015/4/24 0:00,C,19451
2015/4/24 3:00,C,40161
2015/4/24 6:00,C,38316
2015/4/24 9:00,C,30801
2015/4/24 12:00,C,28570
2015/4/24 15:00,C,30853
2015/4/24 18:00,C,35658
2015/4/24 21:00,C,36879
2015/4/25 0:00,C,18838
2015/4/25 0:00,C,19235
2015/4/25 3:00,C,40793
2015/4/25 6:00,C,35904
2015/4/25 9:00,C,29486
2015/4/25 12:00,C,31089
2015/4/25 15:00,C,32654
2015/4/25 18:00,C,34827
2015/4/25 21:00,C,36969
2015/4/26 0:00,C,18633
2015/4/26 0:00,C,19268
2015/4/26 3:00,C,40525
2015/4/26 6:00,C,41171
2015/4/26 9:00,C,29682
2015/4/26 12:00,C,28932
2015/4/26 15:00,C,30505
2015/4/26 18:00,C,34275
2015/4/26 21:00,C,34586
2015/4/27 0:00,C,20652
2015/4/27 0:00,C,21394
2015/4/27 3:00,C,41733
2015/4/27 6:00,C,35196
2015/4/27 9:00,C,32470
2015/4/27 12:00,C,31428
2015/4/27 15:00,C,33731
2015/4/27 18:00,C,35324
2015/4/27 21:00,C,35174
2015/4/28 0:00,C,19078
2015/4/28 0:00,C,21804
2015/4/28 3:00,C,45536
2015/4/28 6:00,C,43368
2015/4/28 9:00,C,31969
2015/4/28 12:00,C,30813
2015/4/28 15:00,C,27402
2015/4/28 18:00,C,29917
2015/4/28 21:00,C,35158
2015/4/29 0:00,C,17853
2015/4/29 0:00,C,20410
2015/4/29 3:00,C,40027
2015/4/29 6:00,C,35209
2015/4/29 9:00,C,32841
2015/4/29 12:00,C,28549
2015/4/29 15:00,C,31889
2015/4/29 18:00,C,37811
2015/4/29 21:00,C,36199
2015/4/30 0:00,C,18147
2015/4/30 0:00,C,20123
2015/4/30 3:00,C,39101
2015/4/30 6:00,C,37760
